MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature,label
25.47,9.26,8.37,24.77,13.29,4.1,5.95,1.23,31.92,16.84,65.8,36.2,excellent
25.35,9.3,8.41,24.77,13.23,4.08,5.98,1.23,31.92,16.77,65.9,36.3,excellent
25.35,9.3,8.44,25.01,13.23,4.12,5.93,1.26,31.92,16.84,65.9,36.2,excellent
25.97,9.67,8.74,25.38,13.4,4.33,6.27,1.43,32.99,17.34,65.9,36.5,excellent
25.72,9.56,8.71,25.38,13.4,4.37,6.29,1.44,31.92,17.12,65.9,36.4,excellent
24.87,9.12,8.24,24.42,12.96,4.06,5.91,1.21,31.23,16.56,66.0,36.4,excellent
24.87,9.09,8.24,24.42,12.96,3.98,5.88,1.17,31.23,16.42,66.0,36.4,excellent
24.99,9.05,8.21,24.3,12.91,3.95,5.91,1.16,31.4,16.42,66.0,36.4,excellent
24.99,9.05,8.21,24.53,13.02,4.02,5.88,1.16,30.9,16.49,66.0,36.5,excellent
25.23,9.16,8.18,24.3,12.86,4.04,5.91,1.15,31.57,16.49,66.1,36.5,excellent
24.99,9.05,8.15,24.18,12.8,4.06,5.88,1.12,31.23,16.35,66.0,36.5,excellent
24.87,9.16,8.18,24.18,12.86,4.0,5.91,1.15,31.23,16.28,66.1,36.5,excellent
25.11,9.16,8.18,24.3,12.8,3.98,5.88,1.16,31.06,16.49,66.1,36.5,excellent
25.35,9.05,8.15,24.3,12.86,4.04,5.88,1.15,30.73,16.28,66.2,36.5,excellent
25.11,9.09,8.11,24.07,12.75,4.04,5.86,1.15,30.57,16.28,66.2,36.6,excellent
24.87,9.05,8.15,24.18,12.75,4.04,5.86,1.16,30.73,16.42,66.3,36.6,excellent
24.99,9.12,8.11,24.18,12.7,4.1,5.88,1.14,32.99,16.56,66.2,36.6,excellent
25.11,9.12,8.11,24.3,12.65,4.12,5.91,1.16,30.41,16.77,66.3,36.6,excellent
24.75,9.09,8.08,23.84,12.49,4.08,5.93,1.12,30.73,16.63,66.4,36.6,excellent
24.75,9.05,8.08,23.96,12.44,4.1,5.93,1.12,30.41,16.77,66.6,36.6,excellent
25.11,9.05,8.08,24.07,12.44,4.08,6.0,1.16,30.9,16.77,66.7,36.6,excellent
24.75,9.05,8.05,23.96,12.39,4.08,6.05,1.17,30.41,16.91,66.7,36.7,excellent
24.75,9.12,8.08,24.18,12.39,4.1,6.02,1.17,30.41,16.91,66.8,36.7,excellent
24.75,9.05,8.08,23.96,12.34,4.15,6.07,1.18,31.74,16.98,66.8,36.7,excellent
24.87,9.05,8.05,24.07,12.29,4.1,6.07,1.2,30.25,16.98,66.8,36.8,excellent
24.87,9.16,8.08,24.07,12.29,4.12,6.12,1.18,30.09,17.12,66.8,36.7,excellent
24.75,9.01,8.05,23.96,12.14,4.13,6.12,1.2,30.41,16.91,66.8,36.8,excellent
24.87,9.09,8.02,23.84,12.14,4.15,6.14,1.18,30.41,16.98,66.9,36.8,excellent
24.99,9.09,8.02,23.84,12.14,4.13,6.17,1.17,30.41,16.98,66.8,36.8,excellent
24.87,9.09,8.02,23.73,11.95,4.19,6.22,1.17,30.41,17.12,66.9,36.8,excellent
24.87,9.05,8.02,23.84,11.95,4.15,6.24,1.21,29.93,17.34,67.0,36.9,excellent
24.87,9.01,7.99,23.62,11.85,4.17,6.27,1.2,30.25,16.98,67.0,36.9,excellent
24.63,8.98,7.95,23.62,11.8,4.13,6.27,1.2,29.93,17.12,67.0,36.9,excellent
24.63,8.87,7.86,23.4,11.8,4.08,6.17,1.12,29.93,16.77,67.0,36.9,excellent
24.52,8.87,7.89,23.62,11.85,4.08,6.17,1.11,29.77,16.77,67.0,36.9,excellent
24.63,8.87,7.89,23.62,11.8,4.12,6.17,1.12,29.3,16.77,67.0,36.9,excellent
24.52,8.87,7.89,23.62,11.75,4.12,6.19,1.14,29.15,16.84,67.0,36.9,excellent
24.63,8.91,7.89,23.51,11.66,4.12,6.19,1.12,29.46,16.91,67.1,36.9,excellent
24.75,9.09,7.99,23.62,11.75,4.17,6.27,1.17,29.93,16.91,67.8,37.0,excellent
