MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
39.74,14.47,6.38,23.54,40.0,26.8,accept
39.99,14.77,6.45,23.69,40.0,26.8,accept
52.55,25.07,9.53,29.14,38.7,26.7,accept
48.26,20.74,8.03,27.21,39.4,26.7,accept
55.78,28.37,11.15,31.06,37.8,26.6,accept
44.24,19.67,7.62,26.91,39.7,26.7,accept
43.95,18.59,7.39,26.04,39.7,26.7,accept
52.94,24.13,9.18,28.79,38.7,26.7,accept
45.72,19.84,7.65,26.95,39.7,26.7,accept
32.85,9.56,5.25,21.26,41.5,26.8,accept
36.14,12.19,5.9,22.98,40.6,26.8,accept
44.53,19.58,7.59,26.73,39.7,26.7,accept
36.14,12.24,5.9,22.98,40.6,26.8,accept
35.12,11.44,5.7,21.73,40.7,26.9,accept
53.33,24.25,9.07,29.08,39.0,26.7,accept
54.53,27.25,10.5,30.3,38.1,26.6,accept
27.92,9.86,5.34,22.03,40.7,26.8,accept
55.78,28.23,11.06,30.91,37.8,26.6,accept
48.26,20.1,7.75,27.22,39.6,26.7,accept
34.93,11.4,5.68,21.66,40.6,26.8,accept
41.76,16.24,6.82,24.58,39.9,26.8,accept
54.53,27.39,10.55,30.41,38.1,26.6,accept
37.21,12.68,6.0,22.44,40.3,26.8,accept
39.03,13.96,6.28,23.25,40.1,26.8,accept
54.53,26.58,10.2,30.02,38.1,26.6,accept
46.02,19.84,7.68,27.0,39.7,26.7,accept
43.67,18.11,7.3,25.8,39.7,26.7,accept
33.03,10.14,5.37,21.2,41.1,26.8,accept
43.39,18.11,7.27,25.73,39.7,26.7,accept
33.77,10.71,5.52,21.41,40.8,26.8,accept
47.93,20.1,7.74,27.2,39.6,26.7,accept
40.73,15.26,6.59,23.98,40.0,26.8,accept
48.26,20.83,8.03,27.26,39.4,26.7,accept
39.5,14.36,6.37,23.45,40.1,26.9,accept
33.77,10.71,5.52,21.41,40.8,26.8,accept
55.78,27.95,11.01,30.89,37.8,26.6,accept
54.94,26.32,10.11,29.9,38.1,26.6,accept
57.07,27.95,11.25,31.37,37.5,26.5,accept
35.94,11.9,5.81,22.0,40.5,26.9,accept
54.53,26.32,10.11,29.93,38.1,26.6,accept
41.5,15.97,6.75,24.44,39.9,26.8,accept
36.35,12.33,5.93,22.99,40.6,26.8,accept
54.53,27.39,10.58,30.45,38.2,26.6,accept
57.97,28.52,11.35,31.6,37.5,26.5,accept
55.78,28.37,11.15,31.08,37.8,26.6,accept
30.8,9.52,5.21,21.54,41.5,26.8,accept
43.67,18.19,7.33,25.87,39.7,26.7,accept
43.67,18.19,7.3,25.86,39.7,26.7,accept
31.12,9.52,5.21,21.55,41.5,26.8,accept
39.99,14.71,6.44,23.68,40.0,26.8,accept
56.64,27.53,10.73,30.92,37.9,26.6,accept
43.39,17.73,7.18,25.54,39.7,26.7,accept
36.35,12.29,5.93,22.99,40.6,26.8,accept
55.78,27.67,10.87,30.75,37.7,26.6,accept
54.94,26.45,10.19,30.01,38.1,26.6,accept
41.76,16.1,6.8,24.56,39.9,26.8,accept
34.73,11.22,5.65,21.64,40.6,26.8,accept
48.26,21.02,8.13,27.3,39.3,26.7,accept
